DRY   account-card       span 249→394 bytes, indent 2, fallback=set, unproven=[]
DRY   action-bar         span 102→243 bytes, indent 2, fallback=set, unproven=[]
DRY   amount-input       span 336→588 bytes, indent 2, fallback=null, unproven=['fallback']
DRY   anchor-nav         span 530→730 bytes, indent 2, fallback=null, unproven=['fallback']
DRY   badge              span 405→552 bytes, indent 2, fallback=set, unproven=[]
DRY   calendar           span 771→1007 bytes, indent 2, fallback=null, unproven=['fallback']
DRY   command-palette    span 683→958 bytes, indent 2, fallback=null, unproven=['fallback']
DRY   confirmation       span 162→303 bytes, indent 2, fallback=set, unproven=[]
DRY   date-picker        span 766→1055 bytes, indent 2, fallback=null, unproven=['fallback']
DRY   date-range-picker  span 716→996 bytes, indent 2, fallback=null, unproven=['fallback']
DRY   eyebrow            span 36→177 bytes, indent 2, fallback=set, unproven=[]
DRY   file-upload        span 483→733 bytes, indent 2, fallback=null, unproven=['fallback']
DRY   form-layout        span 325→574 bytes, indent 2, fallback=null, unproven=['fallback']
DRY   secure-entry       span 424→694 bytes, indent 2, fallback=null, unproven=['fallback']
DRY   stepper            span 622→855 bytes, indent 2, fallback=null, unproven=['fallback']
DRY   summary            span 35→176 bytes, indent 2, fallback=set, unproven=[]
DRY   tab-bar            span 311→535 bytes, indent 2, fallback=null, unproven=['fallback']
DRY   textarea           span 240→455 bytes, indent 2, fallback=null, unproven=['fallback']
DRY   time-picker        span 572→861 bytes, indent 2, fallback=null, unproven=['fallback']
DRY   tree               span 1056→1288 bytes, indent 2, fallback=null, unproven=['fallback']
20/20 would write
