WRITE account-card       span 249→394 bytes, indent 2, fallback=set, unproven=[]
WRITE action-bar         span 102→243 bytes, indent 2, fallback=set, unproven=[]
WRITE amount-input       span 336→588 bytes, indent 2, fallback=null, unproven=['fallback']
WRITE anchor-nav         span 530→730 bytes, indent 2, fallback=null, unproven=['fallback']
WRITE badge              span 405→552 bytes, indent 2, fallback=set, unproven=[]
WRITE calendar           span 771→1007 bytes, indent 2, fallback=null, unproven=['fallback']
WRITE command-palette    span 683→958 bytes, indent 2, fallback=null, unproven=['fallback']
WRITE confirmation       span 162→303 bytes, indent 2, fallback=set, unproven=[]
WRITE date-picker        span 766→1055 bytes, indent 2, fallback=null, unproven=['fallback']
WRITE date-range-picker  span 716→996 bytes, indent 2, fallback=null, unproven=['fallback']
WRITE eyebrow            span 36→177 bytes, indent 2, fallback=set, unproven=[]
WRITE file-upload        span 483→733 bytes, indent 2, fallback=null, unproven=['fallback']
WRITE form-layout        span 325→574 bytes, indent 2, fallback=null, unproven=['fallback']
WRITE secure-entry       span 424→694 bytes, indent 2, fallback=null, unproven=['fallback']
WRITE stepper            span 622→855 bytes, indent 2, fallback=null, unproven=['fallback']
WRITE summary            span 35→176 bytes, indent 2, fallback=set, unproven=[]
WRITE tab-bar            span 311→535 bytes, indent 2, fallback=null, unproven=['fallback']
WRITE textarea           span 240→455 bytes, indent 2, fallback=null, unproven=['fallback']
WRITE time-picker        span 572→861 bytes, indent 2, fallback=null, unproven=['fallback']
WRITE tree               span 1056→1288 bytes, indent 2, fallback=null, unproven=['fallback']
20/20 written
